AAL-close,AAPL-close,AAP-close,ABBV-close,ABC-close,ABT-close,ACN-close,ADBE-close,ADI-close,ADM-close,ADP-close,ADSK-close,ADS-close,AEE-close,AEP-close,AES-close,AET-close,AFL-close,AGN-close,AIG-close,AIV-close,AIZ-close,AJG-close,AKAM-close,ALB-close,ALGN-close,ALK-close,ALL-close,ALXN-close,AMAT-close
16.29,65.1028,80.7,38.16,48.3,33.46,76.81,41.06,44.85,32.69,64.22,40.03,156.57,34.15,47.69,12.39,50.57,50.22,90.54,38.6,30.42,43.97,39.59,34.55,62.44,32.37,30.29,47.86,93.64,13.05
16.78,64.9271,80.07,38.36,50.06,33.54,76.18,40.75,44.91,32.7,64.31,39.67,156.74,34.3,47.7,12.45,50.52,49.81,89.8,38.38,30.28,44.38,39.9,34.67,62.61,32.29,30.46,47.64,92.74,12.96
17.23,64.5828,80.22,39.06,50.24,33.81,76.49,42.46,45.66,33.01,64.425,41.16,156.2,34.52,48.06,12.68,50.03,50.72,89.86,38.3,30.37,44.54,40.29,35.45,62.2,32.6,31.5,47.93,93.88,13.18
17,64.6756,80.03,38.49,49.79,33.48,74.3,42.18,44.55,32.61,63.73,41.03,156.5,34.21,47.63,12.42,50.24,51.06,90.12,37.8,30.11,43.85,40.23,35.01,62.19,32.03,30.925,47.8,92.34,12.96
16.86,65.9871,79.81,38.97,49.82,33.69,73.88,42.97,44.9,32.78,64.08,41.392,157.46,34.27,47.86,12.41,49.91,51.85,90.31,37.79,29.95,44.02,40.5,34.78,61.17,32.63,31.425,48.22,93.48,13.26
16.6,66.2256,80.53,39.32,50.59,33.8,73.41,42.49,44.64,32.57,63.93,40.38,157.62,34.24,47.66,12.3,50.05,51.52,91.07,37.7,30.07,44,40.45,34.4,61.82,32.87,31.16,48.48,92.35,13.32
16.51,65.8765,81.6,40.21,50.72,34.35,74.54,42.75,45.75,32.83,64.79,40.6,157.94,34.6,48.03,12.39,50.6,52.49,91.09,38.44,30.55,44.06,40.72,35.08,62.01,33.6,31.395,48.65,91.37,13.4
16.65,64.5828,81.64,40.15,50.71,34.61,74.88,42.66,45.75,32.97,64.66,40.92,159.71,34.61,48.15,12.54,50.87,51.91,91.07,38.25,30.47,44.4,40.95,35.16,61.75,33.32,31.645,48.67,93.92,13.41
16.97,63.2371,82.65,40.78,51.45,35.32,75.97,43.515,46.49,33.73,65.03,41.25,161.89,35.02,48.63,12.57,51.13,52.02,92.11,38.82,30.66,45.01,41.31,35.32,62.52,33.51,31.98,49.07,92.14,13.48
16.67,61.2728,82.34,41.12,51.64,35.31,75.85,43.38,45.41,33.69,64.685,39.93,160.37,34.93,48.5,12.51,52.38,52.15,92.46,38.23,30.83,44.98,41.23,34.9,61.3,32.44,31.8,49.28,95.6,13.36
15.74,61.3988,82.83,40.71,52.41,36.12,76.67,43.845,45.2,34.11,65.28,39.57,159.84,35.16,48.34,12.51,54.3,52.9,96.68,39,30.71,45.3,41.35,34.84,61.16,31.85,29.63,49.81,99.03,13.241
15.53,61.7128,82.12,40.57,51.69,36.32,76.6,43.7,44.06,33.23,64.75,38.54,158.41,34.81,48.1,12.46,54.43,52.7,95.27,37.84,30.88,45.01,41.01,34.78,60.26,30.95,28.91,49.38,97.27,13.15
15.69,61.1028,82.2,41.6,51.82,36.65,76.61,44.21,43.745,33.59,64.72,38.48,158.02,34.83,48.66,12.53,54.6,51.5,95.84,37.69,31.43,45.37,41.1,34.06,61.05,31.5,29.935,49.51,98.9,13.22
15.72,60.4571,80.95,41.31,52.08,36.31,76.25,43.38,43.61,33.17,63.77,38.35,155.35,34.79,48.71,12.43,54,49.49,97.19,38.62,31.6,45.01,40.95,34.18,61.77,31.04,29.685,49.32,99.2,13.2
15.84,60.8871,80.63,41.77,52.63,36.55,76.55,43.79,44,33.32,64.26,38.35,155.05,35.08,49.23,12.59,54.49,49.6,98.36,40.09,31.72,45.77,41.38,34.49,62.19,31.68,30.105,50.11,98.18,13.38
15.7,60.9971,78.71,42.55,52.92,36.66,76.21,44.17,44.07,32.73,64.46,38.46,154.32,34.93,49,12.64,55.53,49.75,97.71,39.63,31.66,45.64,41.3,34.67,61.92,31.88,29.525,49.73,98.32,13.3
15.78,62.2414,81.23,43.62,53.3,37.1,77.01,44.7,45.1,33.17,65.66,39.645,156.22,35.15,49.64,12.85,56.09,50.21,97.21,40.1,31.54,47.16,41.54,36.04,62.24,32.63,29.85,49.73,100.05,13.81
16.19,62.0471,83.01,43.2,53.81,37.27,77.78,45.21,44.9,32.98,66.11,39.01,158.51,35.34,49.93,12.93,56.7,49.81,97.76,40.44,31.69,47.5,42.39,35.79,61.93,32.86,29.69,50.28,100.42,13.795
16.14,61.3999,81.99,43.09,54.18,37.13,77.23,45.03,44.59,32.64,65.91,38.36,157.87,35.49,49.98,13.1,56.78,50.11,97.33,40.13,31.64,47.49,42.26,35.41,60.87,32.76,29.57,50.35,100.1,13.63
15.59,59.9785,80.27,41.44,54.04,36.13,75.24,44.6,43.84,31.52,64.46,36.71,155.93,34.56,49.07,12.69,55.26,48.97,96.03,38.58,31.34,46.53,41.84,34.44,59.24,31.2,28.315,49.09,96.22,13.31
