ADA-Open,ADA-High,ADA-Low,ADA-Close,ADA-Volume,BTC-Open,BTC-High,BTC-Low,BTC-Close,BTC-Volume,ETC-Open,ETC-High,ETC-Low,ETC-Close,ETC-Volume,ETH-Open,ETH-High,ETH-Low,ETH-Close,ETH-Volume,LINK-Open,LINK-High,LINK-Low,LINK-Close,LINK-Volume,LTC-Open,LTC-High,LTC-Low,LTC-Close,LTC-Volume,TRX-Open,TRX-High,TRX-Low,TRX-Close,TRX-Volume,XRP-Open,XRP-High,XRP-Low,XRP-Close,XRP-Volume
0.02854,0.028678,0.027444,0.027444,5132300,8232.379883,8267.400391,8038.77002,8038.77002,4225179904,18.021099,18.774799,17.770901,18.225,186523008,381.438995,425.548004,376.088013,410.165985,1845680000,0.169655,0.190338,0.157085,0.164384,3325760,71.975098,76.396797,70.902802,73.223396,315247008,0.002311,0.002429,0.002043,0.002105,4402340,0.238991,0.250096,0.237304,0.242402,240684992
0.027406,0.028597,0.026963,0.028382,5502350,8074.02002,8374.160156,7940.930176,8253.69043,5058610176,18.264299,21.7633,18.066,21.448799,373044992,412.501007,480.972992,402.757996,474.911011,2292829952,0.165317,0.193379,0.155927,0.192921,3763260,73.141899,77.9683,72.812302,77.9683,287392000,0.002106,0.002163,0.001969,0.002025,4204470,0.242851,0.245388,0.238421,0.244642,211486000
0.028324,0.030447,0.027747,0.030447,6156460,8241.709961,8790.919922,8191.149902,8790.919922,4342060032,21.325199,22.747499,20.212799,21.705601,370135008,475.675995,485.191986,461.053009,466.276001,1422080000,0.192811,0.193242,0.174594,0.180959,2292830,77.908699,89.367203,77.522301,88.816902,487896992,0.002027,0.002109,0.001993,0.002048,4704770,0.244178,0.2557,0.243584,0.252393,212592992
0.030437,0.039855,0.030118,0.036332,30527100,8789.040039,9522.929688,8775.589844,9330.549805,5475579904,21.7283,22.613001,21.3456,22.216,494332992,465.973999,472.722992,451.605988,471.329987,1197779968,0.183492,0.185923,0.170017,0.182888,1860700,88.939301,88.939301,84.017303,85.926804,357456992,0.00205,0.00219,0.001971,0.002138,6245890,0.252914,0.252914,0.248589,0.248818,133297000
0.036619,0.057127,0.036619,0.050593,77777296,9352.719727,9818.349609,9352.719727,9818.349609,5653320192,22.1577,26.549299,21.703199,25.7535,718945024,471.531006,493.404999,468.484985,480.355011,1396480000,0.182888,0.185542,0.171907,0.184168,4242550,85.889702,93.286201,85.889702,91.602699,429591008,0.002151,0.002225,0.002009,0.002062,6405580,0.248305,0.254733,0.247861,0.253927,196735008
0.050627,0.13173,0.047949,0.119744,240338000,9823.429688,10125.7002,9736.299805,10058.79981,6348819968,25.744499,34.851002,25.596001,33.9828,1640679936,480.518005,482.480011,466.346985,472.902008,1346499968,0.186821,0.192135,0.175586,0.176424,5251760,91.723999,96.033798,90.339798,96.033798,388931008,0.002062,0.00239,0.001991,0.002308,6065010,0.254037,0.301084,0.253415,0.299152,720742976
0.118235,0.146906,0.081436,0.089718,210624992,10077.40039,11517.40039,9601.030273,9888.610352,11568799744,33.985001,34.245701,24.6663,25.4223,919393024,473.281006,522.307007,425.071014,427.52301,2675940096,0.176567,0.182296,0.137963,0.145255,5052720,96.012497,104.609001,81.768097,85.570999,786819968,0.00231,0.00261,0.001935,0.002068,7852660,0.297867,0.297867,0.239409,0.243064,541177984
0.09493,0.128303,0.09493,0.119883,124345000,9906.790039,10801,9202.049805,10233.59961,8310689792,26.005301,29.4412,22.5945,28.188999,968075008,431.214996,465.497009,401.243011,447.114014,1903040000,0.14736,0.176797,0.142163,0.170461,4621870,86.246696,93.539902,78.075401,88.330704,481948000,0.00209,0.0023,0.002031,0.002244,4155450,0.246433,0.261524,0.229586,0.250878,270907008
0.116622,0.131352,0.113031,0.131352,73657600,10198.59961,11046.7002,9694.650391,10975.59961,6783119872,27.9512,31.5434,25.497101,31.203699,853734976,445.209015,472.609009,428.312012,466.540009,1247879936,0.169528,0.179564,0.16127,0.177823,4352980,88.003502,100.412003,83.738297,99.0037,561342976,0.002241,0.002247,0.002057,0.002118,6294070,0.250352,0.258828,0.239438,0.255699,182992000
0.131633,0.138869,0.129132,0.132351,56712600,10978.29981,11320.2002,10905.09961,11074.59961,5138500096,31.181499,32.6576,29.808901,30.7999,605113024,466.851013,476.239014,456.653015,463.449005,943649984,0.177941,0.222175,0.167361,0.207898,7396790,98.941498,103.794998,98.315903,100.283997,402553984,0.00211,0.002212,0.002032,0.002073,5760180,0.255656,0.259218,0.250756,0.255492,118250000
