AAPL.O,ABT.N,ACN.N,ADBE.O,AIG.N,AMGN.O,AMT.N,AMZN.O,AVGO.O,AXP.N,BA.N,BAC.N,BK.N,BKNG.O,BLK.N,BMY.N,BRK_B.N,C.N,CAT.N,CHTR.O,CL.N,CMCSA.O,COF.N,COP.N,COST.O,CRM.N,CSCO.O,CVS.N,CVX.N,DHR.N,DIS.N,DUK.N,EMR.N,EXC.O,F.N,FDX.N,GD.N,GE.N,GILD.O,GM.N,GOOGL.O,GS.N,HD.N,HON.O,IBM.N,INTC.O,JNJ.N,JPM.N,KO.N,LLY.N,LMT.N,LOW.N,MA.N,MCD.N,MDLZ.O,MDT.N,MET.N,META.O,MMM.N,MO.N,MRK.N,MS.N,MSFT.O,NEE.N,NFLX.O,NKE.N,NVDA.O,ORCL.N,PEP.O,PFE.N,PG.N,PM.N,QCOM.O,RTX.N,SBUX.O,SCHW.N,SO.N,SPG.N,T.N,TGT.N,TMO.N,TMUS.O,TSLA.O,TXN.O,UNH.N,UNP.N,UPS.N,USB.N,V.N,VZ.N,WBA.O,WFC.N,WMT.N,XOM.N
5544.6418,4473.6202,69.1974,10692.4018,56.7215,4029.9780,72.0986,2789.2800,37.1137,1367.5943,1065.7095,192.9315,1768.4594,93.6669,208.2483,1634.4005,4249.5000,54.4810,1489.6108,78.9100,2122.7312,1410.4076,189.4721,466.8479,630.6286,145.1500,5110.2205,1380.8052,59925.1546,1787.1270,3301.3158,578.5730,1568.7440,696.1576,250.3843,736.7178,1519.3646,2647.7591,906.0800,20.4700,660.0100,116.1213,3163.1004,488.2117,1774.8329,3251.6523,6773.9194,1041.3009,4419.5155,1923.8683,261.5226,3122.7860,433.5376,5719.7998,56.8159,7420.1288,40.9027,21.6000,2001.7111,7001.2363,4120.3651,78.1651,11369.2294,1672.9751,119.8200,2369.9215,177.7200,10458.1571,2666.7568,2868.2253,5120.7519,111.5131,2235.4159,2927.0074,1534.3437,746.5451,915.9969,405.3167,1603.1527,5251.8043,652.3646,9.0800,31.1700,2143.0529,1736.6197,1090.0533,99.6833,2982.9820,132.0193,1411.9709,7386.1993,2569.9796,25618.1568,5432.1305
5559.5155,4485.8229,68.9274,10637.7303,57.9378,4069.4350,72.2707,2798.2800,36.9909,1366.3760,1060.2510,194.4310,1761.3029,94.1102,205.9272,1642.6838,4247.0000,54.4621,1477.1707,78.5000,2120.1167,1402.4472,187.9042,467.1738,630.8924,142.5600,5060.1203,1362.8887,59946.3146,1775.5288,3290.0598,578.4034,1588.9858,691.4318,251.4498,735.1230,1530.1589,2641.4519,921.1200,20.2100,668.6600,115.7290,3276.2822,485.8833,1768.4117,3226.0679,6791.7298,1044.3975,4428.5119,1920.2731,262.1827,3121.6098,436.0331,5734.1156,56.6774,7403.5414,40.9144,20.3800,1999.5447,7046.9700,4119.4375,77.3056,11260.8448,1680.2185,123.5200,2346.6797,175.0800,10454.8222,2676.0177,2899.6645,5140.0087,112.3696,2245.8551,2938.7200,1544.9920,743.6515,912.4723,406.2967,1597.1500,5324.8977,649.1594,9.1800,29.4200,2138.7001,1738.9619,1089.9637,99.7225,2968.5976,133.6345,1413.8846,7332.8101,2569.9796,25831.0597,5435.8283
5551.9466,4502.7710,68.4323,10904.4605,58.2976,4074.7934,72.0885,2849.0400,37.4309,1380.5076,1055.9158,196.6802,1758.1222,95.8852,209.5339,1650.4494,4235.5000,54.4053,1472.7999,79.8000,2121.7256,1395.7116,187.5974,466.2777,636.1679,144.1300,5113.1675,1365.9778,60026.3035,1775.1974,3303.3021,572.6996,1592.3857,686.7059,252.7816,751.6586,1539.9938,2643.9748,927.5200,20.1400,667.5400,115.5833,3293.6487,486.2159,1769.3927,3200.4836,6763.0352,1043.5530,4425.1382,1931.5080,262.6419,3155.7193,435.0248,5713.9434,56.4002,7433.0302,40.6922,21.2000,2004.7440,6985.3289,4086.9717,78.3263,11287.0067,1671.5264,126.5200,2329.6192,173.7600,10521.5196,2690.0942,2906.9197,5133.0763,112.1645,2250.5347,2967.0628,1600.5624,755.2259,908.3603,409.4639,1590.7185,5418.9950,658.8893,9.7900,29.4000,2169.1700,1767.4037,1108.1477,100.2462,2982.0830,133.0059,1409.4193,7358.6774,2570.7364,25984.6291,5423.5022
5600.4402,4503.4489,68.8036,11149.6535,59.2912,4048.0016,71.9366,2898.6000,37.7686,1397.8066,1064.1527,198.1797,1789.9290,97.7985,210.9504,1652.5202,4261.0000,54.5568,1489.2746,78.5000,2128.3623,1393.6705,191.6534,468.8030,636.2339,146.9600,5605.3283,1382.3498,60426.2300,1769.2326,3327.1383,572.0134,1610.0033,681.2529,255.4453,753.2534,1567.8192,2655.3278,906.9920,21.3300,672.8700,115.9868,3372.0974,491.7604,1791.1534,3239.4693,6748.1931,1044.3975,4447.6294,1921.1719,264.1917,3228.6431,436.4813,5691.1683,56.4002,7458.8329,40.4466,19.8700,2030.7402,7039.0164,4075.8406,78.3800,11503.7770,1679.9770,128.6200,2343.4654,177.3600,10681.5935,2725.6559,2904.5013,5160.8060,112.5506,2252.3345,2996.7372,1610.5452,770.2725,902.0944,414.6303,1596.7213,5369.4259,647.3279,9.5400,30.3000,2196.0126,1786.4764,1118.9864,100.7209,2985.6791,133.6448,1407.1867,7350.3999,2582.8446,25181.8803,5464.7948
5704.0282,4468.8748,68.7249,11199.3548,59.6167,4061.6411,72.1087,2894.0400,37.6969,1403.1668,1068.0544,199.9290,1807.4228,98.1302,212.8192,1634.4005,4293.5000,54.9543,1513.1460,77.8000,2135.4012,1388.7718,193.5621,467.4996,633.9918,147.2300,5617.1166,1399.6484,60074.2947,1782.4877,3341.0428,570.2980,1616.4940,681.4347,256.5107,755.4358,1575.9749,2649.0206,908.0000,22.0100,677.1400,116.1101,3397.2489,497.9534,1794.5424,3207.7934,6708.6143,1041.0194,4445.3803,1906.3418,265.1963,3278.0431,434.7396,5684.6611,56.1231,7527.0259,40.6922,19.0500,2041.5720,7041.0048,4020.1851,78.3800,11548.6260,1680.4599,127.3800,2380.0588,175.8000,10738.2863,2718.6176,2876.6897,5160.8060,112.6592,2278.2524,3057.6078,1604.5555,763.9066,902.2903,414.9937,1593.7199,5388.7495,648.0147,10.0300,30.0100,2166.2681,1777.7766,1119.7926,100.8792,2976.6888,132.6245,1405.2730,7416.6198,2575.2770,25126.0369,5448.1545
5853.9976,4455.9942,68.3986,11239.1158,59.3769,4054.8213,72.1999,2884.2000,36.7965,1386.3551,1066.8983,203.6777,1812.9890,97.7685,212.3192,1641.1307,4287.5000,56.7527,1520.3747,77.8800,2130.7756,1383.8731,192.5396,464.5670,633.2004,147.5700,5581.7517,1415.0937,59999.6418,1781.8250,3340.3807,569.8691,1614.6395,684.8882,256.5107,755.2679,1586.2895,2640.1905,903.8400,21.8700,675.5400,117.9930,3387.6674,497.9534,1788.1212,3195.6104,6698.7196,1051.9983,4438.6330,1902.7466,267.8368,3088.6764,435.1368,5737.3692,56.4972,7639.4521,40.9261,20.0110,2033.9898,6995.2711,4058.2164,79.6694,11488.8273,1666.6975,128.4800,2367.9434,175.8000,10684.9284,2716.3950,2891.2001,5141.5492,112.4058,2260.6139,3046.5750,1598.8986,760.4343,900.1363,412.9687,1581.7145,5346.7418,647.4423,9.9100,29.5100,2142.3275,1780.1188,1113.6119,100.8133,2987.4772,132.0783,1393.7910,7455.9378,2578.3040,25234.2335,5420.4207
5774.0139,4426.8435,68.6124,11182.7877,58.4689,4048.4887,71.0456,2873.4000,37.2262,1379.0457,1058.8059,204.6773,1812.9890,97.6269,212.5097,1636.9890,4261.0000,58.1724,1517.8530,77.2800,2125.7478,1389.5882,192.4714,461.3086,628.3865,147.6400,5646.5873,1409.5334,59711.6947,1772.8777,3286.7492,566.6098,1616.8031,680.8894,253.8471,758.0379,1595.8845,2630.0990,909.1200,21.6300,669.5100,118.0378,3372.6963,494.6895,1771.6223,3180.9907,6706.6353,1070.8594,4415.0172,1896.9045,269.2144,3108.6717,431.1745,5760.1443,56.9684,7582.3174,41.3238,19.1590,2019.2586,6844.1509,3983.0814,79.9917,11511.2519,1655.3496,131.2000,2369.9215,175.3200,10588.2171,2704.5411,2864.5976,5143.0898,110.6444,2234.6960,3015.7593,1600.2297,763.9066,897.1992,411.5149,1568.8515,5387.9093,645.3819,10.1500,29.1100,2150.3077,1787.4802,1117.1949,100.1011,2969.4966,131.4188,1367.9564,7377.3017,2601.7638,24930.5850,5390.2216
5886.7374,4443.1137,69.2537,11212.6085,57.4753,4085.5101,70.7419,2917.2000,37.3388,1384.4060,1052.0141,205.4271,1807.4228,98.5069,211.9264,1646.8254,4284.5000,57.7181,1491.4600,77.1100,2119.1111,1386.7307,190.4605,461.7159,629.9691,148.6200,5663.9750,1411.6957,59802.3447,1779.5053,3288.0734,566.0951,1596.7128,673.8006,252.7816,751.5747,1590.3674,2621.2689,903.6800,21.7300,677.1800,117.3093,3391.8593,492.7647,1759.1367,3134.6952,6703.6669,1064.9477,4359.9138,1895.1069,267.0044,3203.9431,429.0253,5762.0964,56.8298,7497.5370,40.7624,19.4390,2020.5666,6744.7298,3980.2986,79.8305,11414.0790,1646.8990,130.8000,2367.9434,175.6800,10571.5427,2700.0959,2865.8068,5149.2519,109.6310,2237.9357,3030.5965,1601.2280,759.2769,902.4861,412.0082,1567.5652,5350.1024,647.4423,9.7100,29.9500,2131.4453,1805.8837,1116.9262,100.4176,2957.8092,132.0165,1359.3449,7356.6081,2586.6285,25049.2522,5406.8619
5831.8190,4428.8773,68.4436,11099.9522,57.8351,4075.2805,70.0737,2894.3760,36.8579,1374.6601,1016.7543,203.6777,1784.3628,98.9219,211.0456,1664.4275,4257.5000,56.0049,1473.1361,76.3800,2105.8378,1385.7101,189.6084,457.4800,624.7595,146.7700,5636.2726,1400.8840,59343.7623,1761.6108,3255.6297,559.5765,1590.8403,669.9836,251.7161,745.8669,1573.8161,2603.6088,896.8000,21.3400,676.8000,116.6481,3386.4697,489.4171,1745.3133,3050.6322,6702.6774,1048.0572,4285.6930,1905.4430,264.6223,3218.0574,426.1020,5742.5749,57.1970,7440.4024,40.2945,19.4400,2005.3055,6651.2739,3970.0951,77.8965,11307.5625,1627.5834,128.1000,2360.0313,171.6600,10533.1917,2691.5759,2870.6437,5136.1573,107.0009,2233.4361,3013.0962,1593.9073,752.3323,892.4998,406.1928,1567.5652,5292.1317,644.5806,9.7200,30.7300,2127.0925,1804.2107,1108.8643,99.8109,2945.2228,131.0375,1347.5439,7379.3711,2566.9525,24975.9578,5380.9770
5837.0292,4463.4514,69.2312,10689.0883,59.0514,4120.5831,70.3065,2948.8800,36.8886,1400.7303,1027.3033,203.9276,1783.5676,98.8635,212.2002,1686.1712,4269.5000,56.4687,1470.4464,77.7300,2127.1556,1385.9142,193.8348,459.1092,634.7171,148.5400,5658.3756,1407.3711,59727.6917,1766.2501,3281.4523,561.5492,1598.5673,669.4383,252.7816,747.6296,1585.3300,2623.7918,916.6400,21.1800,678.6300,117.6343,3411.0223,488.4128,1763.7742,3034.7943,6749.6051,1046.3681,4326.1771,1971.0550,265.3398,3261.5764,430.2986,5786.1729,58.0215,7479.1065,40.5284,19.4090,2023.8368,6776.5446,3999.7781,78.2189,11421.5538,1637.9655,126.3200,2394.8940,175.2000,10654.9145,2706.3933,2903.2921,5162.3465,108.2918,2247.2950,3046.5750,1620.5279,767.9577,898.3741,407.9063,1584.2871,5350.9425,647.7858,9.8200,29.5000,2144.5039,1812.2413,1110.6559,99.8637,2969.4966,130.5325,1376.8869,7377.3017,2576.0337,25167.9194,5426.5837
