AAPL.O,ABT.N,ACN.N,ADBE.O,AIG.N,AMGN.O,AMT.N,AMZN.O,AVGO.O,AXP.N,BA.N,BAC.N,BK.N,BKNG.O,BLK.N,BMY.N,BRK_B.N,C.N,CAT.N,CHTR.O,CL.N,CMCSA.O,COF.N,COP.N,COST.O,CRM.N,CSCO.O,CVS.N,CVX.N,DHR.N,DIS.N,DUK.N,EMR.N,EXC.O,F.N,FDX.N,GD.N,GE.N,GILD.O,GM.N,GOOGL.O,GS.N,HD.N,HON.O,IBM.N,INTC.O,JNJ.N,JPM.N,KO.N,LLY.N,LMT.N,LOW.N,MA.N,MCD.N,MDLZ.O,MDT.N,MET.N,META.O,MMM.N,MO.N,MRK.N,MS.N,MSFT.O,NEE.N,NFLX.O,NKE.N,NVDA.O,ORCL.N,PEP.O,PFE.N,PG.N,PM.N,QCOM.O,RTX.N,SBUX.O,SCHW.N,SO.N,SPG.N,T.N,TGT.N,TMO.N,TMUS.O,TSLA.O,TXN.O,UNH.N,UNP.N,UPS.N,USB.N,V.N,VZ.N,WBA.O,WFC.N,WMT.N,XOM.N
4163.7530,4928.4954,83.0359,12614.1845,66.1951,4168.8208,77.3313,3122.7600,36.1138,1524.6457,1125.7990,296.5646,2233.8918,115.1152,286.4779,1928.9384,4855.5000,81.1947,1634.8124,80.6300,2241.2848,1590.7421,195.2551,474.9308,723.1588,170.0500,6309.2513,1593.6933,61861.5596,1995.7536,3654.5400,599.5665,1791.0016,580.0924,352.4051,900.8933,1626.0669,2883.4459,1291.5200,28.4700,773.9500,169.8619,4009.3469,593.0222,1796.6700,2588.9438,7560.7322,1377.1404,4435.6269,2441.6269,256.8735,4602.4568,529.8481,6261.9203,39.3423,8722.8841,44.3542,28.6500,2243.3302,7066.3205,3876.1666,124.7354,10280.5904,1775.5913,363.9240,2725.5795,148.4316,11612.5566,2738.3522,3318.0402,5961.7156,110.4787,2414.6425,3446.0138,1873.5308,998.0776,876.9560,420.4809,1549.5138,5264.4845,848.7125,9.7800,39.4800,2457.8937,1924.2788,1194.9233,108.7642,3051.1221,162.2378,1450.3674,8618.3958,2658.7210,24998.5628,5507.9279
4223.8679,4931.3616,83.4457,12962.0935,66.4521,4244.6443,78.5235,3143.4000,36.4857,1516.3035,1113.1495,294.5607,2241.1213,116.8052,288.0989,1957.4839,4862.5000,80.8349,1647.3997,80.8900,2206.7065,1596.0968,195.5282,476.9086,729.8330,169.9500,6328.6920,1594.0046,62195.0161,2016.9815,3674.7086,599.2192,1791.9366,574.7298,353.2140,896.0933,1627.2846,2886.0112,1308.8000,28.5700,785.3700,171.3767,4051.6715,594.3705,1814.1204,2612.5814,7603.0385,1388.5619,4419.6673,2438.9028,258.5480,4633.3218,534.8657,6277.8018,38.9494,8786.3097,44.3061,28.5450,2252.9865,7082.6541,3893.1839,125.9233,10381.1995,1771.9050,361.9400,2721.0934,149.3978,11726.8005,2730.4542,3308.1944,5930.4000,111.2536,2429.5208,3451.3772,1890.6361,985.2443,877.3561,425.6326,1549.5138,5280.5399,857.6814,9.9000,39.2400,2521.1429,1947.5523,1205.3336,109.5354,3061.1287,163.0022,1446.7790,8637.1723,2675.5969,25086.3017,5530.3965
4092.0776,5027.3806,84.4132,12801.3927,65.6983,4112.3372,76.6078,3181.0800,36.2997,1513.6046,1097.9114,301.3236,2248.3507,117.0436,293.8933,1933.6960,4988.5000,83.0319,1626.3075,79.5400,2237.8270,1698.6589,184.4664,475.2556,725.4309,175.0300,6277.8471,1591.5140,62310.6565,2045.8382,3738.5756,597.6342,1829.4709,575.7927,351.0570,896.1775,1617.0562,2987.3423,1331.2000,27.7600,792.8900,175.2090,4082.5079,590.8311,1807.8239,2626.8884,7671.5343,1395.7003,4265.7712,2455.3638,258.1367,4646.3801,533.4991,6213.6143,37.4902,8790.0406,43.7538,28.3200,2279.4863,7019.3614,3915.8737,128.8932,10554.5335,1781.7353,379.0240,2739.0379,153.7578,11696.5594,2771.0725,3358.6542,5992.2483,110.6878,2374.3622,3498.6135,1822.5504,985.8276,882.5582,421.1154,1553.4677,5244.5543,855.8417,10.3500,37.0400,2470.0287,1933.3859,1238.6466,110.9980,3084.7808,163.5426,1448.4101,8641.6651,2697.0753,24321.2186,5514.7933
4090.5659,4990.1195,85.8247,12920.6757,66.1266,4137.9625,76.0372,3237.0000,36.7181,1528.0807,1092.3508,305.3312,2268.4324,117.2452,295.3086,1952.7263,5051.0000,84.2819,1626.1374,79.3900,2276.2699,1707.3087,181.3595,488.4247,723.5138,174.8300,6418.4183,1639.4586,62830.9960,2049.8184,3746.6430,605.5370,1837.9450,575.2286,350.2481,903.8407,1632.3988,3046.3452,1352.9600,27.6800,806.8500,179.3464,4084.3219,597.7414,1801.8872,2623.1561,7752.1176,1411.9758,4294.2705,2482.3961,259.1943,4678.4323,533.2238,6210.3057,37.8270,8543.8001,44.4262,28.9300,2300.4639,7098.9877,3991.5062,131.3231,10655.2154,1791.5655,392.9000,2715.1119,151.6321,11894.8062,2839.5219,3410.3447,6058.0112,112.3114,2383.0714,3507.8630,1826.2398,997.4942,889.9612,422.6956,1567.0869,5258.1523,862.3959,10.2700,39.2800,2496.1374,1911.1243,1244.9833,112.6999,3100.2457,163.1493,1451.6723,8757.1673,2695.5411,24131.7026,5574.7096
3991.5009,4947.1259,85.3694,12846.1238,64.3621,4163.4894,75.3545,3196.9200,35.8142,1519.0025,1094.2531,295.5626,2237.9082,114.7002,289.2602,1939.5108,5011.0000,81.8576,1585.6541,77.9900,2280.3379,1686.7139,178.4575,480.6732,717.6916,171.0800,6312.2422,1614.2410,62326.9171,2022.2885,3670.6749,604.5711,1812.5226,569.5872,339.7326,890.0301,1622.1704,3002.7344,1340.1600,27.1000,792.4600,175.4238,4017.2072,592.8536,1792.8022,2578.9911,7720.8916,1387.9908,4301.1103,2487.4361,257.7255,4587.0242,523.0765,6214.2760,37.9182,8349.7924,43.0934,28.4620,2277.7198,7123.4880,4033.1041,126.4633,10588.7271,1792.5486,374.2400,2692.6812,149.5186,11762.0817,2836.5132,3393.1146,6034.5245,113.2708,2368.5560,3474.7190,1788.0044,973.5777,891.3618,420.1146,1558.3004,5324.4422,835.2591,10.0800,38.5400,2431.4173,1862.2162,1219.5460,111.4368,3079.3227,160.8823,1465.3735,8736.1669,2692.4728,24289.6326,5552.8651
3966.6902,4909.8648,84.0604,12703.6468,63.8653,4187.0981,75.1812,3191.2800,34.7812,1509.9243,1112.2517,286.0445,2194.5317,113.8886,285.7521,1939.5108,5008.5000,80.2099,1556.9075,77.0300,2300.2713,1650.8789,178.2526,484.3406,714.9225,168.5500,6209.0570,1614.5523,62326.9171,2022.9519,3641.7666,604.3955,1788.6695,567.8948,334.0704,883.2089,1619.2480,3007.9071,1329.2800,26.5100,795.5300,170.5628,3892.6520,591.6669,1783.9870,2519.2749,7743.0520,1377.7115,4298.8304,2475.0653,257.2261,4471.8738,529.8889,6229.4957,37.6306,8344.1960,42.3730,27.2830,2268.2247,7186.7807,4017.9776,123.2774,10444.3527,1782.4725,374.3000,2718.6011,148.4316,11518.4733,2834.2566,3373.4229,6031.3929,114.5500,2352.2261,3445.8144,1789.3460,954.9112,888.9608,416.1642,1556.5430,5388.1825,828.9349,10.0800,35.1600,2388.7609,1863.2281,1215.2913,110.6598,3072.0451,162.9733,1471.8978,8740.3670,2720.0879,24658.1360,5529.1482
4008.9306,4951.4253,85.1417,12773.2286,65.8696,4270.2203,75.9353,3185.0400,35.2151,1535.1960,1121.7631,286.5455,2219.4330,114.1169,291.3771,1950.6119,5060.5000,81.0432,1557.0776,85.0200,2318.1707,1643.8767,178.4916,485.0907,718.2596,170.5600,6250.9293,1598.6745,62852.6769,2038.5411,3647.1449,609.9275,1797.4575,573.3481,336.4970,891.1248,1639.4612,3024.7182,1358.4000,27.1100,799.7100,174.1916,3965.2084,592.4298,1808.8133,2540.4244,7742.0370,1396.5569,4391.1680,2486.5197,258.8712,4471.8738,534.2130,6302.9474,37.5604,8342.3305,42.9613,27.1300,2286.3316,7211.2811,4062.4117,127.3273,10546.9345,1787.8792,359.7200,2715.1119,151.2094,11676.3987,2842.1546,3369.7307,6027.4784,114.9067,2356.5808,3487.4370,1816.8486,975.9110,895.1634,420.6414,1567.5263,5405.1800,838.8237,9.9500,36.1100,2513.7884,1837.2562,1231.3141,111.1019,3082.0518,165.0332,1481.0319,8780.2678,2747.7030,24707.2697,5567.2200
3937.6999,4911.2979,84.1287,12627.4382,63.4884,4404.4947,75.0590,3118.4400,34.0374,1521.7014,1097.9114,276.2759,2154.3682,111.9236,286.0908,1921.0091,4929.0000,77.9371,1516.5943,83.3000,2318.9843,1623.2819,173.4387,474.1720,710.6624,163.5100,6179.1483,1573.1455,61540.9877,1986.4664,3602.7741,606.8542,1750.3790,570.7155,327.0600,868.3035,1624.1187,2949.7145,1346.8800,26.3300,790.7700,166.9114,3864.8387,584.4618,1776.6111,2516.7867,7672.9933,1362.0070,4299.9704,2463.6109,258.1661,4257.0054,521.0267,6361.8411,37.1675,8185.6320,41.5925,27.2700,2246.8055,7074.4873,4019.8684,118.9576,10398.7607,1774.1168,358.6400,2693.6781,148.5524,11518.4733,2827.8630,3303.2715,5943.7091,112.6189,2351.5004,3405.7334,1784.6505,951.9945,891.1617,414.4524,1545.9991,5344.8391,823.3006,9.7600,34.3800,2480.6929,1797.7925,1205.6052,109.7623,3032.9281,161.3688,1491.4709,8534.5631,2668.6931,24721.3079,5473.6009
3992.5680,4881.2024,84.0376,12786.4823,64.5676,4400.5599,76.9441,3112.3200,34.2234,1519.2478,1106.9838,278.7807,2174.4499,113.0819,285.6674,1923.6522,4936.0000,78.2022,1530.0320,86.7400,2316.9503,1634.8150,175.7261,481.3400,706.1182,163.3600,6163.5957,1576.5702,62310.6565,2000.0655,3623.6149,611.0691,1761.3640,575.4166,332.7222,868.7246,1629.4764,2980.7506,1352.0000,26.8300,790.1300,167.8756,4084.9265,585.9028,1791.2730,2560.3298,7691.2696,1359.1516,4344.4292,2493.8505,256.4623,4343.6650,519.8029,6367.1349,37.8130,8230.4030,41.8567,27.3900,2259.1712,7003.0278,4010.4143,121.1715,10398.7607,1776.0829,368.1800,2705.1427,150.3144,11531.9138,2844.0351,3326.6553,5956.2354,112.6681,2368.5560,3437.7211,1786.9982,945.5779,894.5631,415.7955,1559.1790,5443.4242,842.1583,9.6600,34.4300,2482.8992,1789.3601,1218.7996,109.7623,3073.8645,163.3770,1504.5197,8568.1637,2665.6247,24956.4482,5524.1552
3953.4400,4909.8648,84.6978,13121.1376,64.7047,4477.2881,78.8700,3159.0000,34.8019,1533.4785,1132.0062,283.2933,2200.9578,115.9852,291.6190,1961.1843,5060.5000,79.8500,1569.1546,87.1300,2328.1374,1653.7622,176.1358,483.7571,715.2065,166.9400,6247.9384,1592.7593,63226.6709,2031.2440,3662.6075,615.8108,1797.1437,578.9895,344.0466,890.4511,1669.4157,3022.1319,1372.4800,27.4000,799.7800,172.0158,4115.1583,596.3291,1819.9672,2603.8728,7749.1445,1407.1217,4383.1882,2510.8030,262.9520,4476.6223,525.4017,6385.8122,38.6829,8308.7523,42.8653,26.8700,2286.9941,6956.0687,4062.4117,123.6554,10565.9312,1784.2677,368.6400,2708.6319,153.1092,11652.8779,2859.0918,3373.4229,6008.6891,112.4590,2381.9828,3490.5202,1830.2645,957.2445,901.7660,419.2719,1574.9949,5364.3862,853.7719,9.8900,35.1000,2521.8784,1817.0184,1244.0055,110.9545,3095.6972,165.4887,1512.0227,8645.8652,2694.7740,25149.4737,5587.8163
3925.2501,4842.5082,84.6409,13025.0484,65.1158,4502.8642,79.0738,3171.2400,35.3494,1524.8910,1125.2750,281.5384,2180.0728,114.8526,290.0223,1954.3122,5108.0000,79.4901,1571.1958,86.3900,2327.5272,1638.9340,174.2239,483.0070,719.1827,169.2200,6237.4703,1591.5140,63497.6810,2043.1847,3670.0026,608.0835,1779.5677,582.7503,340.0022,887.8406,1655.2908,3002.7344,1367.0400,27.1500,801.2000,169.8719,4141.7624,594.2099,1806.4746,2597.6524,7727.8222,1396.8424,4413.9674,2504.3886,261.9696,4528.8554,528.0839,6397.1523,38.7811,8387.1015,42.5531,27.2500,2296.4892,6849.9004,4039.7219,121.7655,10562.1318,1782.5315,376.1600,2725.1448,153.8383,11505.0329,2870.0766,3368.5000,5964.0643,112.8526,2381.9828,3489.7494,1839.6557,947.3279,900.5655,418.3765,1577.6308,5350.7882,848.5975,9.8000,34.8300,2532.0277,1802.8520,1247.6453,110.7134,3091.1487,164.2155,1517.8946,8597.5643,2690.9386,24840.6328,5589.0645
3828.0526,4815.2790,85.1645,13197.3462,64.8417,4553.5245,79.6139,3188.8800,34.8122,1530.2889,1130.8355,284.2961,2184.8924,115.9369,286.4900,1963.8274,5102.5000,79.7553,1554.0158,86.4900,2321.0183,1648.8195,177.0918,485.7575,720.1057,182.0000,6229.9931,1605.2124,63362.1760,2042.1897,3719.7517,608.0835,1759.7947,581.2460,340.0022,887.4195,1649.4460,2998.8549,1390.4000,27.2100,806.1900,170.7454,4173.8081,593.7861,1825.1843,2616.3137,7787.7278,1396.5569,4411.6875,2509.8867,262.4757,4556.1592,528.5734,6382.4769,39.0196,8437.4689,42.4090,27.7800,2291.4104,6837.6502,4030.2679,121.1175,10619.1218,1794.6846,378.7400,2743.1590,154.4459,11636.0774,2876.1372,3370.9615,5988.3339,112.4713,2405.9332,3473.5628,1840.3265,956.6611,896.9641,421.3524,1582.0241,5450.2231,859.8662,9.8100,34.6500,2538.7939,1805.2130,1242.7316,111.0081,3093.8778,163.6358,1524.0928,8677.3658,2714.7183,25177.5501,5581.5750
3735.3903,4917.0304,85.6425,13406.0916,65.2186,4560.9022,80.3577,3277.3200,34.6469,1543.0474,1128.0553,286.0510,2215.4167,119.0019,291.8610,1952.7263,5097.5000,81.3273,1526.6301,86.9900,2335.8666,1663.2358,181.3595,480.2565,734.3772,185.8900,6203.0753,1614.8636,63681.9679,2045.1748,3751.3490,612.1228,1743.1603,589.3319,343.7770,890.9564,1632.6423,3009.2002,1403.8400,27.0900,821.5040,172.6169,4249.9924,590.8193,1845.6930,2646.1717,7838.4952,1401.9821,4425.3672,2508.9703,259.2903,4562.0948,531.7450,6341.7860,39.6720,8443.0653,42.5651,27.7200,2280.5904,6927.4849,4097.3917,122.0355,10695.1083,1825.1913,362.4200,2738.6554,153.7776,11777.2022,2901.5160,3407.8833,6003.2088,113.6029,2417.9085,3435.0234,1868.1645,978.8277,900.9657,425.2239,1591.6894,5646.5433,866.1904,10.1400,35.5800,2541.7357,1798.4671,1258.9288,111.0885,3118.4396,165.1057,1536.8153,8771.8676,2750.0042,25711.0026,5551.6168
3834.0463,4968.6227,87.5548,13737.4334,65.5270,4595.8234,80.1437,3307.0800,35.4630,1573.2263,1151.0290,289.5609,2236.3017,119.7352,297.7082,1986.0295,5133.0000,82.5773,1534.4546,87.6100,2353.5626,1686.7139,184.1932,480.5899,732.3891,185.7700,6346.0391,1628.2508,63920.4569,2063.7492,3797.0644,616.0742,1765.4441,591.2124,347.0125,908.7250,1647.9848,3050.5816,1440.6400,27.5800,838.6040,173.5017,4260.8758,599.1263,1857.7464,2676.0298,7885.2013,1413.1180,4409.4076,2544.7080,261.4040,4601.2696,537.5478,6391.1488,40.0018,8540.0691,43.7418,27.5200,2306.4259,6990.7776,4088.8831,122.7915,10771.0949,1832.3839,363.4600,2747.1621,155.5395,11914.9669,2912.8797,3454.6509,6032.1758,113.5045,2466.5352,3507.8630,1895.3317,990.4943,907.5684,428.2525,1607.9445,5666.9402,878.8389,10.3100,36.6500,2574.0958,1804.5384,1265.5715,112.6156,3075.6839,165.9235,1555.7360,8551.3634,2752.3055,25872.4421,5592.8093
3785.2963,4911.2979,88.1126,13681.1053,65.8696,4587.4620,78.9719,3285.4800,35.8555,1586.2302,1157.1749,298.8369,2229.0722,119.8169,304.0183,1996.0733,5162.0000,84.4334,1524.7590,89.9800,2346.2401,1682.5949,185.4223,483.4238,728.2000,186.3700,6494.6856,1625.7602,64213.1479,2048.8234,3788.9970,613.6156,1768.8966,598.1700,347.5518,909.8197,1648.2284,3060.9269,1452.8000,27.9100,831.3800,174.8288,4261.4805,604.1275,1874.3872,2705.8879,7857.7868,1428.5369,4448.1666,2523.6320,263.0413,4609.5795,538.0373,6457.8553,40.0158,8586.7056,43.8739,27.4525,2311.0631,6968.3189,4129.5356,123.7094,10672.3124,1839.5765,365.8800,2767.1779,155.4180,12049.3715,2909.0918,3460.8046,6043.9192,112.6681,2428.2914,3509.7899,1915.1201,1012.0775,909.9694,426.4353,1594.3253,5619.3475,881.5985,10.3600,37.6900,2584.3921,1808.2487,1264.4796,113.0978,3069.3160,166.7205,1542.3610,8391.7604,2765.3460,25753.1172,5589.6886
3829.0485,4934.2278,88.2947,13750.6871,66.8290,4571.7228,79.0330,3286.5600,36.1241,1584.0219,1186.0018,307.3607,2249.9572,119.8386,302.6783,1983.9150,5170.5000,85.2289,1524.9291,89.8000,2347.4605,1673.1213,185.7979,482.2569,724.0108,184.4700,6520.7062,1621.7129,64261.9297,2037.2144,3786.3079,610.7178,1772.6628,598.3581,345.9340,901.8936,1649.6896,3062.2201,1438.4000,27.8800,832.5960,177.6532,4247.5738,611.7565,1883.7421,2723.3051,7894.3394,1445.6691,4459.5663,2536.0027,264.3214,4594.1469,537.1093,6476.5331,40.0579,8530.7418,44.6784,28.5780,2308.4133,6933.6100,4090.7739,125.3834,10691.3090,1833.8720,363.1200,2763.1747,155.0535,12076.2524,2921.9706,3479.2655,6020.4324,112.9264,2432.6621,3534.4552,1953.6908,1025.4941,908.1686,421.5895,1598.7186,5596.4010,879.5288,10.5900,38.2300,2588.8049,1814.6574,1246.8264,112.9237,3106.6136,166.1512,1548.8854,8427.4610,2793.7282,25732.0599,5536.6378
3839.1685,4970.0558,89.1825,13750.6871,67.8054,4574.1821,78.6051,3290.2800,36.4340,1587.4569,1188.6358,302.5974,2290.9240,120.1536,302.4347,1977.0429,5181.5000,88.4108,1539.5575,89.0600,2354.1728,1688.7734,185.0468,486.6744,731.6081,185.8500,6529.0807,1627.6281,64267.3499,2054.4620,3858.2423,611.5081,1798.0852,604.1874,349.9785,908.9765,1677.6958,3073.8586,1453.7600,28.0000,831.5200,173.5244,4315.2931,624.7257,1892.3773,2684.7384,7939.0148,1433.3910,4470.9660,2527.2974,267.8937,4666.5611,539.7200,6584.5976,40.1000,8506.4909,46.8636,27.9600,2334.2488,6941.7768,4062.4117,124.3574,10638.1184,1839.3285,369.4000,2736.6539,155.7826,11998.9698,2924.2433,3469.4196,6042.3534,112.0654,2427.5630,3548.3294,1967.7775,1030.1607,906.7681,421.3788,1611.4592,5638.8945,885.8530,10.8100,38.4700,2595.4240,1814.9946,1262.1137,113.1112,3113.8911,166.3168,1564.5439,8534.5631,2799.8648,25795.6411,5552.8651
3893.8587,5005.8838,89.1256,13744.0603,67.6170,4497.4539,78.3605,3254.8800,36.4237,1607.0855,1213.6581,304.6030,2299.7599,120.8452,301.9474,1983.3864,5203.5000,90.1532,1550.9541,88.9500,2352.1388,1694.3340,187.7098,487.0911,727.3479,185.9400,6544.0350,1638.5246,64354.0732,2065.0760,3876.3940,612.8253,1804.3624,609.4527,359.6851,905.6880,1684.2712,3054.4611,1470.0800,28.3100,834.8200,173.8873,4312.2699,626.0819,1889.6788,2698.4234,7964.3985,1441.3860,4481.2257,2523.1738,269.5310,4709.2974,541.4129,6596.6048,39.8895,8620.2839,47.5601,28.1400,2336.4569,6994.8610,4127.6448,124.7354,10588.7271,1839.8245,360.9000,2728.6476,154.2636,12056.0917,2910.9857,3476.8040,6055.6625,112.1884,2429.3841,3580.7026,1965.7651,1033.0774,906.5680,424.0124,1607.9445,5723.0317,887.9228,10.5000,39.1000,2612.3395,1828.4865,1271.1223,113.4327,3130.2657,166.8447,1559.6506,8668.9657,2848.1913,25777.9801,5564.7235
3809.9114,5013.0494,88.8069,13717.5529,67.0003,4512.7011,77.4740,3289.5600,36.6200,1601.9330,1231.5103,301.0932,2298.1534,120.3402,303.8599,2020.3898,5150.5000,88.9221,1526.4600,89.5000,2340.3415,1677.2403,186.4124,489.5082,736.6492,180.7900,6490.1993,1621.4015,64093.9034,2061.7591,3839.4183,610.6300,1783.3340,603.0592,361.0333,897.4246,1674.7734,3027.3046,1477.7600,28.3700,827.6100,172.2426,4301.3268,623.7933,1893.9065,2692.2029,7976.5827,1435.6753,4441.3268,2523.6320,269.0249,4634.5090,533.5297,6587.9329,39.5808,8581.1092,47.4160,27.8300,2321.4414,6974.4440,4258.1108,122.4135,10603.9245,1813.0382,364.2200,2676.6066,154.8104,11904.8865,2912.5009,3438.6515,6041.5705,111.7948,2441.7678,3589.5667,1954.6970,1034.8274,904.3671,420.1146,1613.2165,5703.4847,893.4421,10.2600,39.1200,2619.6940,1849.3989,1264.8436,113.2318,3123.8978,165.4162,1577.5926,8618.5647,2812.1382,25996.9764,5564.7235
3809.2000,5017.3487,88.7045,13780.5079,66.6234,4502.3723,77.5657,3301.2000,37.1778,1602.1783,1240.1438,302.3467,2319.0384,119.2552,309.0493,2034.6626,5182.5000,88.9600,1518.6355,89.8800,2337.0871,1671.8856,186.5148,489.9250,734.3062,180.9100,6452.8133,1646.9305,64153.5256,2060.4324,3854.8809,613.8790,1763.8749,605.5038,361.3029,909.5667,1707.4068,3037.6499,1467.8400,28.0700,825.3100,172.3107,4301.9348,626.8448,1907.4890,2694.0691,7975.5673,1432.2489,4430.9930,2522.7156,274.7704,4677.2452,537.9353,6629.2909,39.9456,8556.8583,48.0043,27.0800,2320.5582,7017.8792,4256.2018,123.0075,10605.8241,1829.1596,384.7200,2744.6602,154.8104,11953.6082,2914.7736,3448.4973,6012.6035,111.3766,2431.3873,3587.2543,1964.9267,1056.4106,906.1678,419.5353,1607.9445,5730.6806,894.2486,10.1000,38.9800,2595.4240,1844.7431,1269.9394,114.1025,3112.9814,164.9711,1563.8914,8983.9717,2820.5762,26014.6374,5570.9648
3846.1048,5035.9793,89.0801,13790.4481,66.8461,4533.8506,77.8612,3188.8800,37.8699,1604.1412,1238.2415,303.6002,2328.6776,118.8586,311.8999,2034.1340,5199.5000,89.8881,1508.7698,90.1100,2315.5265,1695.3637,186.1051,496.0928,730.6850,178.4900,6457.2997,1658.1384,65042.4390,2076.3533,3882.4446,614.0546,1805.3039,610.7690,362.1118,917.7459,1696.2043,3063.5133,1468.1600,28.1600,821.5400,174.7040,4270.3208,625.6581,1941.1304,2693.4470,8031.4115,1456.2339,4480.3666,2523.1738,275.4848,4653.5028,537.6294,6624.6215,40.0228,8571.7819,48.2445,27.0400,2341.0941,6990.9907,4225.6572,123.1154,10689.4093,1835.6082,376.7400,2736.6539,154.9320,12197.2165,2923.8645,3459.5738,6058.7941,112.3114,2424.6492,3601.5139,1934.5732,1048.8273,907.7685,421.0628,1619.3671,5723.0317,891.1380,10.2900,36.8500,2602.0431,1853.2084,1283.0428,114.7053,3098.4263,166.3065,1581.5072,8971.3714,2835.9179,25862.7528,5606.5401
3945.3476,4892.6674,87.1906,13710.9261,66.7604,4515.5538,76.9950,3141.8400,37.1881,1621.5615,1264.7272,315.1325,2317.4318,118.9169,312.7526,2059.5078,5139.5000,89.5093,1510.9810,90.0920,2279.7277,1676.8284,188.4268,492.3421,722.4204,176.5000,6557.4940,1668.1009,64868.9925,2078.0117,3871.0157,614.2302,1807.5009,627.8811,362.6510,919.6852,1702.5361,3031.1841,1445.4400,28.2100,814.3020,175.6342,4197.9734,622.6913,1933.2148,2659.2346,8040.5497,1428.2514,4458.5504,2525.9228,276.0802,4607.2052,529.6646,6648.6358,39.8614,8472.9126,48.2685,26.6450,2349.4851,6966.1706,4208.4758,127.3813,10651.4161,1847.0172,369.7000,2741.1574,153.5953,12210.6570,2918.1827,3448.4973,5976.5905,112.3852,2366.5552,3594.9622,1933.9024,1041.8273,910.7697,420.3253,1600.4759,5677.1387,888.8338,10.3800,35.2900,2579.9794,1853.2084,1289.3215,114.4909,3112.9814,164.1223,1566.5012,8941.9709,2930.2695,25608.4346,5577.8302
4052.5939,4795.2153,87.4296,13604.8967,66.1266,4445.8099,76.4754,3094.6800,36.4237,1613.9555,1246.4360,314.8818,2278.0717,116.1352,310.9375,2055.2788,5106.0000,87.5774,1519.9962,98.0400,2283.3890,1662.8239,186.6173,493.0089,721.9517,174.1300,6481.2267,1674.9501,64570.8813,2050.1501,3820.5944,611.3325,1786.7864,628.0691,357.5281,904.6762,1697.1784,3006.6139,1433.6000,28.0400,807.7900,172.3561,4216.2122,626.3362,1917.8333,2644.9276,8001.9664,1413.6890,4450.5128,2504.3886,274.9490,4598.8954,525.2182,6575.2587,39.7211,8415.0834,47.0077,26.4900,2327.6243,6922.7355,4164.5679,124.1414,10676.1117,1838.3364,371.1800,2710.1330,152.5016,12109.8535,2904.5463,3450.9587,5962.4985,111.1429,2351.4398,3575.3070,1909.4184,1030.1607,906.5680,418.0341,1588.1747,5673.7392,884.8015,10.2500,35.1500,2546.1484,1862.3508,1275.8541,114.4374,3104.7942,163.6254,1590.3151,8910.4703,2896.5177,25520.1297,5540.3825
4041.6559,4806.6803,86.7125,13502.1807,65.7497,4544.6712,75.9455,3076.9200,36.4650,1598.0073,1251.2648,318.6423,2266.0226,114.0252,308.4159,2079.5954,5088.5000,86.7251,1501.4555,100.3800,2289.0842,1652.9384,183.1348,494.3425,725.0759,171.2300,6436.3635,1693.0072,64749.7480,2032.5708,3785.6356,613.8790,1787.4141,629.3854,354.8318,897.6775,1702.7797,3015.6661,1420.1600,28.1000,811.3200,168.8284,4182.1664,627.5230,1919.9021,2629.9986,8007.0432,1404.8374,4515.9615,2510.3449,276.4672,4539.5395,521.7406,6563.9186,39.7632,8416.9489,46.4434,26.5500,2322.5455,6968.2390,4171.2496,120.9015,10706.5063,1863.1386,362.7400,2693.6200,151.5295,11992.2495,2904.1676,3444.8051,6036.8731,111.6964,2357.2674,3588.4105,1906.0644,1023.7441,909.7693,413.7413,1587.7354,5648.2431,891.8292,10.4600,35.0800,2549.0903,1868.1072,1270.1213,113.9685,3088.4196,161.4827,1596.8395,9395.5795,2875.8064,25590.7736,5528.5241
4020.2244,4845.3745,87.0654,14068.7753,65.6126,4625.8261,76.7505,3087.3360,37.1158,1619.3533,1249.2162,320.3972,2270.0390,114.5976,315.1402,2107.6123,5117.0000,87.2933,1478.8325,105.7700,2330.9850,1687.9496,184.0567,503.7609,731.8921,172.5100,6481.2267,1716.9796,65232.1461,2033.5658,3827.9895,618.1817,1792.4358,633.5224,360.2244,835.8705,1698.3961,3033.7704,1424.6400,29.2000,814.7080,170.2916,4187.6380,633.2023,1934.4741,2634.9750,8066.9488,1402.5531,4577.9656,2533.7118,274.5918,4559.7205,528.8997,6588.6000,40.2543,8495.2981,46.2873,25.8600,2333.1447,7040.6309,4211.3394,122.7915,10757.7972,1877.5238,366.1000,2743.6594,153.3523,12017.4504,2890.9100,3481.7269,6073.6690,112.4467,2394.4185,3601.5139,1926.1882,1035.4107,916.1719,417.3493,1589.9320,5823.3165,893.6726,10.5700,35.9500,2578.5085,1858.2875,1266.0265,112.5620,3086.6002,164.9297,1585.4219,9664.3847,2871.9709,25781.5123,5531.6448
