close,close.1,close.2,close.3,close.4,close.5,close.6,close.7,close.8,close.9,close.10,close.11,close.12,close.13,close.14,close.15,close.16,close.17,close.18,close.19,close.20,close.21,close.22,close.23,close.24,close.25,close.26,close.27,close.28,close.29,close.30,close.31,close.32,close.33
82.1930084486988,36.3576983713252,129.97233283825,190.552559424147,77.8051083748729,73.9951857176595,67.2685044942578,83.3897601320013,37.5245382683285,100.672910492522,126.521255830384,33.5504965741324,24.044743447325,17.5313190802334,25.7664846318647,240.346213125086,114.943672657792,53.7040719741657,80.5128697428142,60.1223785918519,7.82650230320843,57.2618820443196,57.9079353699196,76.4347757610224,191.24171795055,50.9647141525678,28.0005918424087,18.3991839691642,56.3728954658795,70.8238051456024,96.8903288526706,17.4411211159029,31.4210680378497,179.78658718454
81.1346944939399,35.6934634396715,129.4940817324,188.093228476448,78.5928711477935,72.9392658766287,66.1030928616551,83.8217489341105,36.3460353300695,99.6355231764078,124.089353493299,33.6285671511961,23.9417398246025,17.3771878504753,25.5022627893956,237.578296364398,114.984447090671,52.3389480048281,80.8577963132874,59.7342952463676,8.28012573353017,57.6676570195311,57.7814910531052,75.6752914718888,189.071757677621,51.3635252526848,27.8818481317119,18.2053213834491,55.8742676328813,69.4473421342308,96.6067047302602,17.6172343351232,31.280052195199,181.144351998019
81.4495952329615,37.9711276202512,130.809283586068,187.690012913637,79.5792283507903,71.9631941906914,65.3262745438749,81.4515765063263,36.8120258131269,99.8975278182964,124.861877281985,33.4378714144605,24.0449105406973,17.6250081254732,25.5802703254585,237.292682057369,114.01650421542,53.5504091726183,82.2852807295088,60.4719901113656,8.07542281231097,57.3495438647321,57.8056621744068,75.22911315062,191.953066886884,51.2257340494432,27.9455793918332,18.2563145454545,56.301086017456,69.5840910702165,97.5941067380466,17.387756662191,31.5688330305663,181.095613196001
78.0903661753061,36.7483077517668,125.020876262949,181.309802338395,76.5550606643056,76.5958866271924,69.9158292844523,77.6429379168049,35.7915970075088,101.090601215527,122.806412473064,31.3792692981535,24.3500487332877,17.0763429273259,24.8012557393276,233.126913612945,112.355080817551,51.5938351223173,80.2058390053088,58.5424304328622,7.66353531931905,55.2797654747354,56.2384663888602,72.8985948542403,186.125650140605,50.6911163869258,27.0271090989399,17.7162088670495,54.3117194518605,68.658528375594,95.6009995768069,17.3352611528269,31.033480565371,177.132278783861
80.9206751691695,37.8390762050425,131.866286462993,187.537668633432,79.7498252704873,76.7547669404321,69.3438469907444,79.8535644510707,36.80287439807,107.116423822498,123.787365655192,33.9378818400435,24.9723932726896,17.5424091936714,25.708359991975,232.894424841469,113.414824448452,54.5495181216773,81.8143966340351,59.837520064332,7.90888378681199,57.01539684922,57.6663896588652,74.0142408981252,191.053911158112,51.6701124233298,27.5312235064095,17.8479157944529,56.5407167827113,70.1942448782903,100.928954904571,17.4610898409044,31.1846473565538,183.168741906681
83.1843118036276,38.1553547898284,137.610173459599,194.146156544723,80.445963615683,79.3213310539088,71.6623414834341,83.0427329951345,37.7720879011254,111.931001481478,128.211479126017,34.7225889088909,25.577711332628,17.8644497707104,26.1046896690631,238.739753285903,116.364711749435,56.7002112652187,84.6244257376389,61.5946019288747,8.26843413025312,59.1224570736454,58.3796450616372,76.9078957586855,195.259723787394,53.6598475210329,28.601245011286,18.0567497545499,58.6427908226792,71.9536598606226,103.374320017844,17.5238759332628,31.8606896595268,190.445603359629
82.6995758145689,38.0774810838123,138.754708192588,196.030425111952,81.2502307132577,77.6542452337558,70.2669601465294,84.6539772387724,38.4723687614476,113.696938407063,127.664753435137,35.1462718178932,25.333481875922,18.0691057536455,26.8334090122863,237.060445356858,115.27211154461,56.5485716760653,83.5261423778234,61.1759940630329,8.2461273033575,60.4020732022361,57.6872445470526,77.7359997473631,196.348480036862,55.1987798901029,28.5322764605571,18.0860291037706,59.6270428888526,71.4534214532779,104.68292192969,17.3127332154361,31.6950950546327,194.496096110147
83.0945452507256,37.5491858373568,139.440304458824,194.522660297572,81.0833698790123,77.0900095388772,69.992673798479,83.7463816651224,37.1699762378112,113.418941189007,127.957974198754,35.0076063083718,25.2351408762699,18.0699430737018,26.7495431681425,235.823476286088,115.799519924304,56.5334382100897,83.3325855638195,60.5198692921834,8.23313616666723,59.6356003585102,57.6446765598867,76.5470514847423,195.879225024347,55.4563058158983,28.3574425636656,18.0077468395973,59.1782365353972,71.1440098531098,104.812277179777,17.0923150383414,31.4099559153018,192.231723599748
81.9494563540838,37.7297335415779,139.718243878342,194.179196944268,80.7209566542287,77.2854284629558,70.3488144256709,83.6469636806155,37.1447927398362,110.94370220179,128.119871658077,35.0799682109088,25.354858302828,17.690074242576,26.5751889561771,236.094110863344,115.486941192528,56.5001645448559,84.3251294166633,61.2535851199773,8.43178846971582,59.1875631321521,57.7205404701398,76.2860811207345,196.840924782136,52.9008235127076,28.5445418997586,17.9546013725212,58.730687299915,71.2570435302559,104.589273673261,16.3272359221922,32.2280478962563,194.80099271521
81.8407123224695,37.7625983104008,139.061531528157,193.557134070567,80.071503454032,77.0440526862918,69.7467752612417,82.925274851588,36.6585509953189,112.468147325439,127.708695407711,34.458994538755,25.1877761590129,17.5509615162783,26.3295343537863,234.266100150692,114.519391798945,56.1143180746272,84.3667451883431,59.4009421249232,8.39569352648849,59.1184331956933,56.985810966415,76.4423673302126,196.2626370671,52.6819904802433,28.3908594811417,17.9662185130897,58.3213093800243,70.1732391489448,103.913550159878,15.982006974325,32.211625451164,193.673463910621
