AAL.L,ABDN.L,ABF.L,ADM.L,AHT.L,ANTO.L,AV_.L,AVV.L,AZN.L,BA_.L,BARC.L,BATS.L,BDEV.L,BKG.L,BLND.L,BNZL.L,BP_.L,BRBY.L,BT_A.L,CNA.L,CPG.L,CRDA.L,CRH.L,DCC.L,DGE.L,DPH.L,ENT.L,EXPN.L,FLTR.L,FRES.L,GLEN.L,GSK.L,HIK.L,HL_.L,HLMA.L,HSBA.L,IAG.L,ICP.L,IHG.L,III.L,INF.L,ITRK.L,JD_.L,KGF.L,LAND.L,LGEN.L,LLOY.L,LSEG.L,MGGT.L,MNDI.L,MRO.L,NG_.L,NWG.L,NXT.L,PRU.L,PSN.L,PSON.L,REL.L,RIO.L,RKT.L,RMV.L,RR_.L,RS2.L,RTO.L,SBRY.L,SDR.L,SGE.L,SGRO.L,SHEL.L,SKG.L,SMDS.L,SMIN.L,SMT.L,SN_.L,SPX.L,SSE.L,STAN.L,STJ.L,SVT.L,TSCO.L,TW_.L,ULVR.L,UTG.L,UU_.L,VOD.L,WPP.L,WTB.L
33.0938746,5.978530409,23.50845232,25.14165688,4.99444734,21.8241977,7.652820506,28.57981825,65.97507825,6.616235917,3.728551736,69.66606009,3.832595811,26.88380093,13.43013362,20.77631558,9.326381826,24.47183479,4.708057134,7.630314361,13.84985604,38.17962548,18.05483926,27.90168506,32.77262046,7.419458855,2.415637767,17.83907801,61.80785689,26.51115325,5.630106653,31.99083358,12.51885578,11.44870284,6.46418392,14.11062639,2.319953414,4.508144767,36.86644658,7.049470397,6.384185526,49.35517052,10.86252697,5.569558673,18.77831308,2.794595179,1.240858394,19.37894316,9.366096865,10.88743168,0.705868179,17.3501469,1.450294666,72.0438152,16.69251246,12.46592996,24.83357999,13.39475751,66.60790204,65.12542874,25.80340342,13.83430986,3.529340893,1.464642922,6.677180628,26.83853099,5.773500448,4.328699797,47.84457389,0.105880227,2.594457705,28.48977301,10.81546909,11.50641392,31.93661359,29.5810975,32.45391576,6.439587592,39.24459144,6.506039169,0.804335963,44.88550448,3.368559808,14.65039738,5.227468957,13.36443751,43.98210655
32.39673868,6.052209783,23.88338363,25.45084502,5.051551614,22.06512734,7.721266174,28.88019985,65.61344112,6.665806859,3.87254584,69.44375638,3.925006898,27.1079465,13.4429089,21.1194751,9.416791103,24.82707879,4.769105832,7.677299521,14.00623772,38.28671374,18.62324216,28.30572825,32.60355972,7.520492128,2.422413277,18.01566661,62.3340418,26.81424357,5.683015802,31.81043382,12.36134673,11.49966669,6.669501489,14.28048271,2.35634746,4.574271305,37.12669335,7.162172146,6.465012057,49.65349056,10.61772053,5.714708711,18.91295917,2.815200961,1.290928435,19.79493652,9.479845326,10.96606611,0.712881621,17.51082103,1.481875767,72.82641698,16.84228044,12.7022272,25.19089567,13.46712661,66.53201465,65.87776094,26.19037731,13.9537707,3.603732998,1.479906102,6.716107962,27.33078365,5.832265552,4.367461205,48.05328864,0.107750201,2.630048701,29.14216675,10.90085975,11.38392142,32.46662989,29.57545256,32.57935905,6.547140402,39.19769659,6.557073021,0.816109317,44.99155544,3.381940614,14.60042665,5.253423807,13.53562743,44.14694191
32.08845115,5.969839379,23.79861557,25.50964868,4.990743767,22.0035582,7.613049597,28.70549797,65.12506672,6.562673671,3.822692203,69.2499849,3.998115044,27.1064689,13.4922855,20.9847873,9.341945234,24.56131237,4.736280779,7.632684668,14.05506078,38.03870632,18.32925345,27.69243248,32.52222387,7.532448155,2.415653927,17.93835409,61.79650584,26.2130562,5.69290711,31.70012194,12.44377579,11.40178116,6.66500879,14.06824872,2.310557295,4.497194682,36.97841047,7.08923315,6.345013075,49.6035183,10.76064022,5.640926861,18.93025444,2.800979738,1.295226325,19.22722894,9.324838232,10.81076439,0.714500236,17.38749529,1.478378892,72.68309393,16.58996347,12.86755405,25.12060458,13.37171267,65.49493377,65.58398064,26.22709978,13.65745075,3.609363433,1.460944739,6.685282282,27.12221805,5.839147471,4.348195647,47.75996849,0.106194656,2.592906456,28.81618456,10.87828571,11.40360126,32.15643215,29.64757164,32.01942824,6.511023474,39.02123659,6.518583297,0.820159266,45.00455028,3.380346892,14.50923717,5.261309707,13.43511421,43.7756194
33.28738597,6.042364883,23.81685408,25.85203346,5.095685542,22.75515908,7.838182425,28.85936327,65.12637334,6.620202625,3.951877143,69.78348603,4.035799544,27.2221948,13.63723107,21.09274934,9.328285956,24.86722156,4.760898795,7.572349169,14.2232857,38.15971333,18.80974979,28.60763741,32.5140323,7.855025387,2.419347819,18.25468152,62.24337827,27.78193714,5.802347608,31.6298896,12.43771126,11.56984062,6.681484594,14.20986566,2.354936611,4.587334826,37.10208877,7.159738119,6.39556167,49.96325152,10.32150336,5.676584024,19.06446552,2.841391235,1.311335659,19.16158268,9.449455897,10.94258185,0.719677426,17.33950483,1.517703468,72.63429373,16.72843139,12.74099237,25.36422991,13.42691473,66.96164948,66.01461254,26.37717525,13.7347239,3.603885648,1.464107153,6.689453089,27.40977415,5.880930752,4.321168633,47.85426438,0.108713551,2.626720489,29.15974192,11.02845564,11.40386456,32.36270459,29.60440371,32.88184396,6.453052918,38.81215461,6.536255616,0.825373938,45.13283243,3.377660916,14.48089743,5.265120013,13.56562884,44.15320517
32.19244816,6.020924463,23.73150086,25.80492582,5.076962823,22.42724433,7.738163924,28.85060696,64.8870277,6.545547913,3.909561512,68.37100437,3.951841167,27.14652241,13.59286838,20.85480742,9.290383864,24.71693171,4.699583112,7.603162835,13.95703814,37.3212335,18.55586567,28.41679581,32.57848787,7.823893414,2.421305724,18.09328009,62.40233279,26.92457447,5.770935779,31.26016999,12.34555155,11.54130232,6.558820326,14.05413839,2.317197465,4.544483251,36.59551417,7.035776409,6.322210646,49.1154887,10.26886011,5.527141941,18.9071716,2.814544276,1.30853835,19.08686077,9.273218062,10.80794658,0.713457055,17.31022068,1.511688325,72.42800271,16.50823366,12.66435944,25.03474364,13.35359939,65.41194995,65.15918062,25.69581123,13.58031697,3.539680811,1.452353322,6.664010133,27.06515663,5.802016531,4.290702312,47.44050923,0.105685657,2.60901607,28.73165092,11.02601108,11.20022602,31.18515581,30.08032534,32.27941046,6.408788883,38.8801421,6.559952251,0.823320266,44.77913885,3.40717939,14.49923791,5.208640196,13.39999487,43.70905398
32.95975885,6.00803688,24.14159538,26.10091187,5.191232009,23.23466225,7.763219031,28.93191547,65.36680421,6.590743527,3.873914362,69.86692153,3.991031353,27.17361084,13.52762314,21.15892357,9.325048339,24.87739001,4.762087058,7.592311824,14.03807556,37.60672373,18.52436618,28.75485166,33.1555384,7.713588666,2.438796829,18.16007114,62.60367627,28.18535379,5.965845208,31.67152088,12.3501437,11.68179846,6.672929433,14.1480716,2.2703848,4.55824632,36.76852363,7.006148295,6.393301914,49.2190814,10.43836818,5.52411029,18.6415876,2.813383454,1.297415262,19.10939259,9.391359958,10.84661496,0.720676379,17.24670948,1.472845835,72.76923676,16.53283274,12.8205482,25.1533297,13.45006354,65.38694149,66.11244411,25.9132093,13.60509801,3.555718112,1.458150254,6.716230154,27.14580839,5.853701778,4.246412968,47.77245918,0.104542561,2.588143344,28.77399399,11.02622149,11.42877066,31.2833287,30.09623311,32.31561569,6.398300662,39.09305716,6.583965217,0.815594124,45.04247899,3.487400025,14.4609019,5.253389543,13.52857003,43.89913536
31.93742676,5.98942568,24.35045784,26.0056498,5.265981599,22.8466055,7.750263821,28.47839507,65.72273964,6.625671222,3.789347462,69.26584139,3.9831538,27.15745961,13.50092213,21.27032143,9.287839021,24.55743264,4.7176124,7.675793741,14.08935428,37.58006477,18.68606315,28.40532017,33.39215472,7.801431167,2.433983098,18.06044092,62.44443099,28.05877607,5.967897498,31.82685011,12.37642066,11.77276268,6.589989416,14.06711016,2.242118632,4.492165548,36.8327045,7.042503574,6.421909802,49.37264557,10.38605165,5.567773635,18.48674186,2.8013953,1.292192444,18.84143267,9.289282277,10.79570929,0.714179796,17.32557877,1.437689068,72.62560384,16.52119263,12.82291819,25.20724475,13.48198041,64.22063927,66.96372872,25.78277861,13.51319859,3.558213727,1.45714628,6.709081987,27.01580384,5.791431186,4.204041219,47.88205566,0.102909123,2.587791802,28.60727719,10.94103151,11.57955909,30.98373272,30.21548646,32.67969649,6.22113956,39.2419428,6.590410434,0.818800768,45.47373058,3.536014533,14.5037556,5.261535596,13.36708633,44.00061277
31.8487957,5.972804141,24.28288173,25.93348028,5.251367724,22.7832028,7.728755696,28.39936333,65.54034934,6.607284007,3.778831464,69.07361847,3.972099961,27.08209365,13.46345508,21.21129315,9.262063899,24.48928214,4.70452033,7.654492281,14.05025425,37.47577455,18.63420657,28.32649122,33.29948657,7.779781045,2.427228436,18.01032054,62.27113849,27.98090883,5.951335702,31.73852591,12.34207426,11.74009152,6.571701224,14.02807185,2.235896422,4.479699126,36.73048832,7.022959588,6.404088055,49.2356292,10.35722883,5.552322242,18.43543842,2.793621015,1.28860642,18.78914492,9.263503149,10.7657496,0.712197842,17.27749774,1.433699269,72.42405708,16.47534388,12.7873327,25.13729093,13.44456593,64.04241753,66.7778945,25.7112276,13.47569748,3.54833916,1.453102484,6.690463295,26.940831,5.775359111,4.192374385,47.74917589,0.102623535,2.580610298,28.52788778,10.91066854,11.54742411,30.8977483,30.13163403,32.58900551,6.20387498,39.13304063,6.572121073,0.816528476,45.34753427,3.526201571,14.46350554,5.246934059,13.32999069,43.87850459
31.42343561,5.95015787,24.19079109,25.59364629,5.130233217,22.6538538,7.700534493,27.90308937,65.012227,6.597543437,3.802553445,69.25070525,3.954735804,26.70156968,13.42249584,21.01352508,9.227654957,24.45068362,4.783924967,7.635867075,13.90934927,37.45635048,18.72534828,27.57861489,33.22724281,7.787641892,2.396197505,18.00082506,62.23492441,27.91341705,6.210604901,31.40373403,12.31291981,11.56267573,6.439780795,14.0205467,2.284269859,4.414048036,36.18820268,6.945049024,6.338888269,48.33807067,10.2941906,5.347493401,18.43803562,2.785122111,1.287332651,18.56984318,9.126887524,10.76232259,0.707666487,17.18751681,1.435750054,72.04322742,16.37304502,12.77594499,24.89607859,13.43853925,62.79442822,66.68522903,24.97090032,13.41853408,3.506015297,1.426322702,6.704522518,26.95384495,5.742274584,4.179620119,47.66792322,0.103257195,2.545959849,28.52306153,10.80653546,11.51229391,30.67763385,30.12877591,32.59333239,6.110483132,39.03646149,6.591749021,0.813246306,45.3090247,3.491827285,14.47020538,5.238061932,13.18696851,43.72423356
30.69754248,5.953182978,24.27612825,26.09854119,5.255744928,22.55302364,7.630837425,28.22300327,64.90068075,6.61042039,3.76345892,69.03288927,3.976634783,26.72096778,13.41977221,21.29776639,9.212264545,24.3387685,4.809549694,7.707246296,14.12587848,37.52520389,18.62656827,28.10016267,33.51944309,7.941674686,2.531211055,18.04614355,63.04598116,27.76415021,6.033880548,31.35150997,12.31577415,11.66034478,6.486228329,13.95158066,2.25752386,4.443857409,36.38408292,6.909466557,6.373905838,48.68726034,10.36214526,5.337192614,18.42063366,2.800992453,1.270627259,18.63535149,9.07805083,10.75124089,0.699563455,17.26066552,1.42923176,72.98189206,16.40985944,12.80260655,24.92190898,13.74259895,61.06734002,66.62478106,24.94824896,13.36041464,3.527875408,1.4313543,6.736299684,26.87737156,5.813131177,4.169376742,47.42923776,0.101643944,2.554941159,28.62368151,10.84465736,11.54425812,30.80167453,30.56927249,32.44295252,6.188580611,39.28693316,6.542267581,0.814513376,45.22934015,3.535785443,14.50089937,5.230952055,13.15438745,44.4832672
