0001.HK,0002.HK,0003.HK,0005.HK,0006.HK,0011.HK,0012.HK,0016.HK,0017.HK,0027.HK,0066.HK,0101.HK,0175.HK,0267.HK,0291.HK,0316.HK,0386.HK,0388.HK,0669.HK,0688.HK,0700.HK,0762.HK,0823.HK,0857.HK,0868.HK,0881.HK,0883.HK,0939.HK,0941.HK,0960.HK,0981.HK,0992.HK,1038.HK,1044.HK,1093.HK,1109.HK,1177.HK,1211.HK,1299.HK,1378.HK,1398.HK,1928.HK,2007.HK,2020.HK,2313.HK,2318.HK,2319.HK,2331.HK,2382.HK,2388.HK,2628.HK,2688.HK,3968.HK,3988.HK
25.7002,35.2668,76.879,65.2679,26.5649,104.53,13.9987,30.7289,3.3845,5.602,4.9014,10.0038,0.9803,0.9789,12.5826,23.4695,1.4771,22.8797,5.6576,4.187,30.6166,1.8637,5.8112,2.2809,1.3492,1.1679,16.0626,0.8925,15.5499,1.5013,0.0367,4.324,10.8155,17.4467,0.3752,2.59,7.708,7.8425,3.5344,0.494,0.7161,3.2311,0.4307,0.7035,2.3415,8.3687,3.1122,0.6632,0.4569,4.8447,3.0595,4.1761,2.8128,0.5047
26.0968,35.3436,77.8093,66.0734,26.8854,105.5721,14.1163,30.9618,3.3908,5.658,4.9633,9.9496,0.9842,0.9855,12.5821,24.7051,1.4991,23.0502,5.7009,4.1537,30.8835,1.9087,5.8195,2.2972,1.3321,1.0979,15.919,0.9059,15.884,1.4959,0.0367,4.3523,10.8487,17.5803,0.3732,2.5592,7.7077,7.853,3.5671,0.5038,0.7256,3.2714,0.4218,0.7112,2.3275,8.4168,3.112,0.6677,0.4497,4.9441,3.0875,4.0918,2.84,0.5098
25.653,34.4836,77.4716,65.4525,27.1433,105.1938,13.777,30.3479,3.3453,5.7848,4.99,9.86,0.9881,0.9622,12.3028,24.1,1.4871,22.7936,5.701,4.1727,30.8305,1.8426,5.7341,2.2808,1.3219,1.1243,15.6945,0.8992,15.6955,1.4772,0.0355,4.4164,10.8377,17.5318,0.4243,2.5558,7.761,7.5273,3.5606,0.501,0.7176,3.3657,0.4101,0.7174,2.3275,8.2855,3.0849,0.6483,0.4453,4.8047,2.9819,4.155,2.805,0.5064
25.5813,34.0121,77.2973,65.4487,27.1203,105.7584,13.8796,29.9364,3.3126,6.0378,4.9808,9.7337,0.9958,0.9505,12.1903,23.2658,1.487,22.6852,5.9727,4.1867,32.7857,1.8305,5.7252,2.2924,1.315,1.1493,15.6119,0.8941,14.9052,1.4744,0.0367,4.6935,10.7023,17.5796,0.4184,2.5386,7.9997,7.5812,3.5604,0.5052,0.708,3.4597,0.3983,0.7189,2.3066,8.2643,3.0847,0.6409,0.4453,4.8343,2.9887,4.1547,2.7542,0.5013
25.7458,34.2217,78.0632,66.3629,26.6533,106.4271,14.0571,30.1128,3.3518,6.2773,4.9987,9.7879,1.0505,0.929,13.5606,23.8721,1.5111,23.3285,6.0925,4.2815,33.2692,1.7825,5.7852,2.3207,1.3287,1.2154,15.9188,0.9008,14.3564,1.5629,0.0387,4.9354,10.7363,17.7266,0.4577,2.5455,8.2392,7.5923,3.567,0.5164,0.716,3.6079,0.4027,0.7312,2.3066,8.3683,3.1052,0.6543,0.4482,4.8743,3.0241,4.1549,2.762,0.5047
25.6066,34.1711,78.4909,66.3658,26.8494,105.9562,13.851,29.763,3.3129,6.3338,4.9901,9.8062,1.0662,0.9323,13.3935,23.4694,1.5031,23.5009,6.3757,4.3433,33.5119,1.8306,5.7513,2.3232,1.3458,1.2616,15.8991,0.8942,14.1339,1.5415,0.0387,4.8076,10.7143,18.2524,0.4577,2.5251,8.0003,7.5926,3.5869,0.5094,0.7097,3.7023,0.3983,0.7329,2.2129,8.3341,3.0917,0.6454,0.4988,4.9144,3.0312,4.134,2.7232,0.503
25.4888,34.2482,78.3187,66.4117,26.8702,105.8577,13.9244,29.762,3.3127,6.4462,4.9988,9.9137,1.0623,0.934,13.2812,23.1406,1.4891,23.4674,6.2558,4.3384,33.2964,1.8967,5.7254,2.316,1.3424,1.3196,15.4286,0.8958,14.2193,1.5147,0.0393,4.7079,10.68,18.3983,0.4675,2.5489,8.1861,7.5706,3.554,0.5066,0.7128,3.783,0.4115,0.7735,2.1434,8.3476,3.112,0.69,0.506,4.9242,3.0452,4.1129,2.7192,0.5047
25.1855,34.0666,77.8117,66.0293,26.7627,105.0046,13.8362,29.6458,3.2315,6.2634,4.9812,9.8242,0.9998,0.9273,12.974,22.9393,1.459,23.1848,6.3539,4.2912,32.8951,1.8817,5.7341,2.2621,1.3321,1.2999,15.1633,0.8875,14.1767,1.5174,0.038,4.58,10.567,18.1424,0.4597,2.5456,8.0534,7.56,3.5147,0.5024,0.7033,3.7562,0.4101,0.7557,2.0774,8.2787,3.1257,0.6588,0.5176,4.8745,3.0101,4.0639,2.7115,0.498
25.3035,34.094,78.4937,66.6082,26.6771,105.5795,14.4865,30.1445,3.3195,6.3341,4.9991,9.9503,1.035,0.9324,13.0864,23.1421,1.4771,23.4908,6.2018,4.405,33.245,1.957,5.7857,2.2809,1.339,1.3144,15.2865,0.8959,14.3918,1.5389,0.04,4.6087,10.6694,18.2652,0.4872,2.6139,8.3461,7.6146,3.5214,0.5067,0.7145,3.8438,0.4248,0.7947,2.0845,8.3067,3.1259,0.6335,0.5451,4.9644,3.0454,4.0781,2.7311,0.5047
24.8583,33.9624,77.7272,65.5975,26.438,104.8149,14.486,29.8215,3.2933,6.3339,4.9989,9.8242,1.0311,0.9257,13.002,23.0404,1.4389,23.2939,6.1472,4.3291,32.8417,1.9689,5.7769,2.2668,1.3322,1.2748,15.1225,0.8791,14.254,1.5174,0.0393,4.5445,10.5558,17.9472,0.4714,2.6036,8.0535,7.4623,3.5082,0.5038,0.7001,3.7158,0.4116,0.806,2.0427,8.175,3.119,0.635,0.5292,4.9045,3.003,4.1551,2.7076,0.498
25.0459,33.9632,77.9836,65.3588,26.6118,105.5782,14.4568,29.8222,3.2413,6.1229,4.9722,9.669,1.0037,0.9124,12.8625,22.3343,1.4871,23.1201,6.1474,4.3102,32.8424,1.9539,5.8113,2.2316,1.3185,1.2656,15.0616,0.8725,14.3402,1.5174,0.04,4.5873,10.5107,17.911,0.4577,2.6071,7.5752,7.2561,3.5279,0.5038,0.6874,3.6486,0.4013,0.7735,2.0914,7.9608,3.1326,0.5978,0.5335,4.8647,2.8974,4.1341,2.6921,0.4946
