ADS.DF,AIR.DF,ALV.DF,BAS.DF,BAYN.DF,BEI.DF,BEI.DY,BMW.DF,BNR.DF,CON.DF,DB1.DF,DBK.DF,DPW.DF,DTE.DF,EOAN.DF,FME.DF,FRE.DF,HEI.DF,HEN3.DF,HNR1.DF,IFX.DF,MBG.DF,MRK.DF,MTX.DF,MUV2.DF,PAH3.DF,QIA.DF,RWE.DF,SAP.DF,SIE.DF,SRT3.DF,SY1.DF,VOW3.DF
79.1728644,37.41534707,111.2798613,76.65528286,77.40040679,71.54618382,71.71786558,68.98599512,39.86275213,98.82353451,51.25390009,29.6168594,19.51908919,11.89992751,23.08931807,72.16398755,36.36608324,50.3528841,77.26180823,60.73900449,6.553982824,47.243815,57.42504511,76.48861369,147.8718878,50.12355736,18.6900041,42.1284502,66.55237472,90.55361121,16.4563867,33.43157816,169.3634376
80.52066092,38.346952,114.2407274,80.16406816,81.01056645,72.9288893,73.0826148,71.99897602,40.44114693,103.273295,51.40857933,31.84877351,19.69450464,12.2224373,23.6510462,72.35808887,37.06888827,53.17390249,78.56507095,61.85183297,6.653038037,49.64577626,59.78913917,77.14500014,150.9143395,52.03986191,19.11727799,43.293889,68.02731392,93.05432936,17.15526179,33.99601633,176.3760705
80.79220621,38.1348915,116.3576539,80.84778906,81.02982291,71.91663486,71.82820759,73.36557883,40.40027182,102.51247,53.41007065,33.69217917,19.4906334,12.22064862,24.05348049,71.95453227,37.11835688,54.16801867,77.82862944,62.13405239,7.062812323,49.44473924,59.99979708,77.75409788,151.3887483,53.20795118,19.02942203,44.34248581,67.87424541,94.4413342,17.23106402,33.72742375,178.4070688
81.75420301,37.7413659,118.7781351,82.07647274,80.96962969,72.070765,72.1398228,74.83819235,41.6619306,102.8181105,55.26542178,34.53260807,19.68275151,12.3511152,24.37100874,72.43267902,37.05590331,54.99046943,78.251438,62.31826919,7.120626367,49.55536489,59.83474613,77.47517718,154.0385357,53.86636193,19.15023915,45.0141752,68.61020197,95.79365351,17.5937531,34.0211967,181.5964339
81.21560729,37.82300229,119.6768863,83.6397823,81.97132694,72.1431419,72.31675317,75.82855172,41.61398308,103.4008298,56.1045243,36.01170059,19.60913761,12.5663922,24.67577827,72.16867297,37.54433067,55.34369844,78.58718373,62.4234639,7.160188323,50.29109987,60.23545128,76.31236548,153.9753245,53.99438144,19.13579159,45.36615665,68.67857582,96.79696344,17.59409798,34.05589304,182.6747993
81.43357273,36.76272686,121.5307698,84.32584642,83.1501693,72.26185147,72.43538789,77.83301334,41.90621785,105.0820879,57.84547392,35.9248673,19.76901207,12.44963144,25.07279931,72.68990798,37.44440363,55.64734591,79.46939752,62.07976261,7.409362481,50.38469324,60.44659206,75.18240518,156.627547,55.658915,18.97820017,46.03599905,69.92875069,97.58402904,17.8054796,33.22258385,188.7433541
82.21024485,32.7294179,123.1759228,84.95781679,83.49326282,73.59567716,73.29871215,77.95331594,41.61512755,104.8932072,57.90172179,36.02921566,20.10840484,12.60035462,25.35822981,73.47947346,37.77227117,55.51567247,80.54078501,64.3316599,7.475771417,50.80684029,62.06052313,78.41554844,158.8117244,55.46144408,19.12002781,46.62092475,70.75514225,98.60452118,17.84992136,33.20843538,189.2700055
83.37349385,32.92723682,124.8296761,86.22989819,82.60451187,71.96216498,72.19597707,80.14299016,42.19009239,108.3978821,58.73749347,37.21716906,19.98443878,12.56090497,25.14908802,72.20896663,37.24756464,56.98909863,78.30107049,66.46887986,7.715798917,52.0102001,60.91259537,79.6779639,160.9705302,58.31013693,19.17752728,46.77540724,71.28800679,99.69149929,17.86843938,33.02725644,197.5712147
83.62359477,33.97048742,125.6340308,87.25678095,84.42745852,72.64667862,72.82106106,80.78102977,42.39197959,108.6402646,59.13269453,37.9256911,20.24540878,12.78367565,25.12942845,73.05575624,37.68273571,57.34035764,78.62288309,67.17002085,7.786897401,52.18361956,62.06507305,79.92747358,162.6765338,58.09688901,19.36156512,46.79480859,71.61480654,100.4364228,17.90081711,32.87174688,198.1141939
85.04055025,33.74826654,124.2854008,87.353385,83.87588211,74.23073256,73.98189983,78.98474737,41.96891418,106.3432513,59.03229129,36.21105575,20.03496377,12.63808344,24.98935441,71.88384702,37.80685934,56.90280697,80.56941897,66.65574038,7.485936262,51.44944123,61.58937501,78.85378277,161.364097,56.51122283,19.65909539,46.11787256,72.875249,100.2072981,17.97528359,32.99129118,193.568291
85.1701038,33.4945643,123.4188699,87.36725959,83.85885165,73.91310323,74.09044043,79.82260475,42.34668983,106.3501641,58.65167214,36.50838399,19.92435639,12.8060932,24.98368248,71.04962898,37.51033919,56.724434,79.99994195,65.72429707,7.393396643,52.23623801,60.95966368,78.52647842,159.5122066,60.09905666,19.53160664,45.89643299,73.06031991,99.88517983,18.21227,32.98863169,195.8545977
85.30026885,33.80060839,122.4224677,87.96667719,84.55216056,75.00138088,74.83693279,77.37152162,41.85073399,106.7868476,58.2094036,36.10431732,20.22319975,13.11016725,24.90213948,71.67065447,38.11893695,56.39264374,82.09614137,65.13580057,7.347958346,51.02197791,60.99980057,78.81892584,161.1617393,60.51950773,19.69305043,45.70743326,72.91837173,100.5457815,18.71249606,33.35294415,195.2494793
84.75097335,33.63002069,123.0800117,87.85813714,86.0265322,74.23851067,74.40327468,77.47151783,41.73809646,108.339471,58.84799546,36.37340629,20.19980797,12.90867625,24.81579491,71.83451298,37.7352392,56.92531624,81.444017,65.09475688,7.252211081,51.89287854,60.97565667,78.90120238,162.0719981,62.82438669,19.73730112,45.57605998,73.16170652,99.59361581,18.99002499,33.7805138,200.8304607
83.78709303,32.44874392,122.1451658,87.36150368,86.44570697,73.78030067,73.60378657,77.38715877,42.69993044,101.8810868,57.82134882,36.06287025,20.13299131,12.99325529,24.65616529,72.200759,38.29019274,55.68760477,80.59945593,64.75212329,7.112480169,51.80689022,61.76695826,78.58771428,161.3351911,63.33741464,19.61214491,45.52895837,72.61738421,99.04427152,19.06936403,33.89330422,200.9794807
84.63082595,32.38251509,122.6571212,87.52905329,86.50729877,73.66543457,73.5554572,76.11987085,42.71780079,101.0459198,57.69413178,35.65764136,20.06763661,12.67845075,24.6608094,71.61209226,38.44123346,55.7947578,81.44795128,65.33950024,6.637458143,50.83413118,61.76070702,78.72310005,161.3018775,62.64828914,19.69332537,45.64449286,72.9046499,98.81066197,19.39522199,34.35434476,196.2125784
83.85630831,31.56982841,121.2804779,86.13120439,85.78590536,73.29217093,73.12442476,74.39284384,42.23758131,98.26054253,56.14077064,33.81143333,19.93598663,12.50354113,24.31932298,73.05216487,38.45555045,54.26201359,80.50912712,64.4054952,6.414355311,49.35737377,61.20347897,78.16713258,158.455609,60.21442176,19.14835387,45.42953278,71.13727787,97.1056747,19.46410377,33.76730319,190.5854515
